x,y,z
0,99,0.0003
1,99,0.0997
2,99,0.1951
3,99,0.2828
4,99,0.3593
5,99,0.4215
6,99,0.4669
7,99,0.4937
8,99,0.5010
9,99,0.4883
10,99,0.4563
11,99,0.4062
12,99,0.3400
13,99,0.2604
14,99,0.1706
15,99,0.0741
16,99,-0.0251
17,99,-0.1231
18,99,-0.2160
19,99,-0.2999
20,99,-0.3716
21,99,-0.4281
22,99,-0.4672
23,99,-0.4873
24,99,-0.4875
25,99,-0.4677
26,99,-0.4288
27,99,-0.3721
28,99,-0.3000
29,99,-0.2153
30,99,-0.1213
31,99,-0.0216
32,99,0.0798
33,99,0.1788
34,99,0.2717
35,99,0.3547
36,99,0.4246
37,99,0.4786
38,99,0.5147
39,99,0.5315
40,99,0.5283
41,99,0.5053
42,99,0.4634
43,99,0.4044
44,99,0.3307
45,99,0.2451
46,99,0.1512
47,99,0.0527
48,99,-0.0464
49,99,-0.1423
50,99,-0.2309
51,99,-0.3090
52,99,-0.3732
53,99,-0.4211
54,99,-0.4507
55,99,-0.4609
56,99,-0.4514
57,99,-0.4224
58,99,-0.3753
59,99,-0.3118
60,99,-0.2347
61,99,-0.1469
62,99,-0.0520
63,99,0.0461
64,99,0.1435
65,99,0.2363
66,99,0.3206
67,99,0.3932
68,99,0.4511
69,99,0.4918
70,99,0.5138
71,99,0.5160
72,99,0.4984
73,99,0.4617
74,99,0.4071
75,99,0.3369
76,99,0.2538
77,99,0.1611
78,99,0.0624
79,99,-0.0383
80,99,-0.1372
81,99,-0.2302
82,99,-0.3138
83,99,-0.3845
84,99,-0.4397
85,99,-0.4772
86,99,-0.4954
87,99,-0.4937
88,99,-0.4721
89,99,-0.4316
90,99,-0.3738
91,99,-0.3010
92,99,-0.2161
93,99,-0.1225
94,99,-0.0239
95,99,0.0757
96,99,0.1723
97,99,0.2620
98,99,0.3414
99,99,0.4072
0,98,0.0003
1,98,0.0997
2,98,0.1952
3,98,0.2829
4,98,0.3594
5,98,0.4216
6,98,0.4671
7,98,0.4940
8,98,0.5013
9,98,0.4887
10,98,0.4567
11,98,0.4066
12,98,0.3405
13,98,0.2610
14,98,0.1712
15,98,0.0749
16,98,-0.0242
17,98,-0.1221
18,98,-0.2148
19,98,-0.2986
20,98,-0.3702
21,98,-0.4265
22,98,-0.4654
23,98,-0.4852
24,98,-0.4852
25,98,-0.4652
26,98,-0.4260
27,98,-0.3691
28,98,-0.2967
29,98,-0.2117
30,98,-0.1173
31,98,-0.0173
32,98,0.0844
33,98,0.1837
34,98,0.2769
35,98,0.3603
36,98,0.4305
37,98,0.4849
38,98,0.5213
39,98,0.5384
40,98,0.5355
41,98,0.5128
42,98,0.4712
43,98,0.4124
44,98,0.3389
